,sta 0,sta 1,sta 2,sta 3,sta 4,sta 5,sta 6,sta 7,sta 8,sta 9,sta 10,sta 11,sta 12,sta 13,sta 14,sta 15,sta 16,sta 17,sta 18,sta 19,sta 20,sta 21,sta 22,sta 23,sta 24,sta 25,sta 26,sta 27,sta 28,sta 29,sta 30,sta 31,sta 32,sta 33,sta 34
2015-03-01 03:00:00,17.45,17.06,17.12,17.19,17.21,16.88,16.95,16.66,16.62,17.11,16.6,16.2,16.74,15.42,14.83,15.17,16.17,17.31,18.24,17.35,17.75,19.83,19.89,19.29,18.18,20.3,20.73,17.96,17.94,17.98,18.25,17.01,18.2,18.84,17.52
2015-03-01 09:00:00,23.28,22.89,23.46,22.22,22.88,21.74,22.39,20.97,22.13,21.3,21.72,20.42,21.97,20.01,19.67,19.57,20.29,20.29,20.47,21.33,20.57,22.38,23.2,22.8,22.48,23.28,24.7,21.52,20.63,21.59,22.81,21.97,19.27,22.39,22.22
2015-03-01 15:00:00,25.39,24.99,25.6,24.68,25.05,26.25,23.94,23.4,24.41,23.07,22.96,23.11,23.2,22.79,22.53,20.66,25.14,25.21,26.4,25.93,26.06,28.28,27.97,26.5,27.83,28.88,30.32,26.61,23.26,27.04,27.69,24.76,23.43,26.29,29.02
2015-03-01 21:00:00,18.91,18.56,18.3,18.58,18.38,17.88,18.02,18.13,18.14,18.13,17.65,17.77,17.79,16.71,16.0,16.35,18.84,18.99,19.75,19.68,19.89,22.31,21.22,20.89,20.26,22.26,23.74,19.87,18.89,20.53,21.11,18.35,18.87,20.45,21.13
2015-03-02 03:00:00,13.99,13.51,14.65,15.61,14.64,14.45,15.58,15.84,14.89,15.61,15.85,15.66,16.1,14.92,14.35,15.5,15.88,16.79,17.17,16.86,17.61,19.48,18.9,16.06,18.03,20.77,19.04,18.07,17.41,17.55,16.37,16.7,17.81,18.28,20.03
2015-03-02 09:00:00,22.03,21.59,21.68,21.5,22.13,20.72,21.31,20.34,21.45,22.14,21.01,19.76,20.52,19.54,19.28,19.99,19.71,19.57,20.45,20.16,21.03,21.87,22.02,20.23,21.8,23.17,23.86,21.84,21.35,21.08,22.06,21.67,20.41,20.87,23.22
2015-03-02 15:00:00,26.35,25.89,27.38,26.51,26.47,25.93,25.65,25.3,25.94,24.81,24.7,25.31,25.0,25.28,25.19,22.72,27.31,27.66,28.58,27.42,28.63,29.83,27.49,28.76,29.31,29.85,31.7,29.46,27.19,28.43,28.44,24.97,27.9,28.41,28.52
2015-03-02 21:00:00,19.59,19.22,19.03,19.58,19.23,18.77,18.82,19.08,18.86,19.03,18.52,18.89,18.82,17.89,17.22,17.33,20.44,20.46,21.28,21.0,21.09,24.46,21.9,22.09,21.98,23.91,23.9,21.07,19.05,21.99,20.54,19.86,20.05,21.68,22.76
2015-03-03 03:00:00,14.34,13.81,14.94,16.9,15.26,15.3,16.71,17.48,16.12,17.33,17.52,17.59,18.44,17.49,17.27,16.81,17.29,17.79,18.39,17.59,18.14,19.89,20.98,16.81,17.73,20.44,20.22,18.89,16.63,17.43,16.87,18.11,17.26,17.8,20.97
2015-03-03 09:00:00,22.49,22.05,22.16,21.94,22.59,21.25,21.85,22.07,21.62,22.88,21.6,20.16,21.21,19.68,19.29,20.24,20.92,20.79,21.65,21.25,21.85,23.29,24.13,21.04,22.7,24.54,24.59,23.75,18.79,22.15,22.25,24.48,20.13,21.6,24.06
2015-03-03 15:00:00,25.87,25.45,26.04,25.58,25.67,26.13,24.78,24.68,25.82,24.32,24.09,24.27,24.26,24.04,23.83,22.09,27.47,29.36,29.06,27.32,29.99,30.7,26.05,27.84,28.1,31.45,32.63,29.86,26.07,30.23,30.58,26.33,26.13,28.38,29.61
2015-03-03 21:00:00,20.4,19.96,20.31,20.6,20.53,19.91,20.25,20.44,20.41,20.52,20.1,19.6,20.19,18.41,17.66,18.67,21.15,21.04,21.31,21.46,21.89,24.56,22.73,22.93,22.25,24.46,25.7,21.67,20.1,22.29,23.04,20.45,19.19,22.7,20.44
2015-03-04 03:00:00,15.1,14.59,15.59,17.62,15.92,16.09,17.47,17.92,17.43,17.4,18.38,18.35,19.2,17.92,17.53,17.3,17.09,18.04,18.09,17.68,18.36,20.72,21.83,17.6,18.14,21.61,21.24,19.25,18.12,17.69,18.49,19.07,17.92,18.18,19.3
2015-03-04 09:00:00,24.48,24.06,24.2,23.97,24.32,23.3,23.62,23.74,24.0,24.38,23.29,22.45,22.92,21.87,21.46,22.23,23.34,22.39,22.78,24.66,23.18,24.98,24.96,22.39,23.61,25.48,25.95,24.7,18.83,22.61,24.52,24.08,18.19,23.96,26.84
2015-03-04 15:00:00,21.39,21.01,21.24,21.55,21.04,20.64,20.74,20.75,21.77,20.73,20.35,20.97,20.72,20.27,19.78,18.48,28.63,30.99,31.58,30.2,28.88,30.67,29.38,28.91,31.3,32.2,32.95,30.99,25.57,30.62,30.76,27.01,25.51,28.56,30.36
2015-03-04 21:00:00,19.98,19.53,20.09,20.61,20.18,19.57,20.23,20.41,20.5,20.47,20.21,19.98,20.6,19.09,18.49,19.16,20.37,20.78,20.7,21.38,22.21,24.8,21.98,20.04,22.72,24.74,26.0,22.15,20.55,22.76,20.94,20.32,20.92,22.6,20.54
2015-03-05 03:00:00,17.27,16.66,18.02,19.12,18.76,17.52,18.32,18.68,18.32,18.29,18.31,18.46,18.66,17.84,17.36,16.79,20.34,18.99,18.59,18.81,18.93,21.1,20.63,17.96,19.16,20.26,21.0,19.33,17.37,18.78,17.89,19.02,17.43,19.07,18.46
2015-03-05 09:00:00,23.01,22.6,22.81,22.41,22.8,22.32,22.18,22.24,22.35,22.95,21.76,20.9,21.51,20.38,19.99,20.31,21.5,23.0,21.67,24.78,22.59,23.52,23.65,22.3,23.08,25.58,24.16,23.91,19.42,22.47,22.54,22.52,18.74,23.19,21.99
2015-03-05 15:00:00,26.81,26.39,26.68,26.83,26.65,26.81,25.85,25.91,27.22,26.13,25.44,25.76,25.84,24.8,24.24,24.77,27.55,30.14,30.3,29.92,30.14,29.92,29.12,29.19,30.14,31.7,32.15,30.79,30.32,30.2,29.56,27.63,29.93,30.28,29.1
2015-03-05 21:00:00,19.05,18.5,19.69,21.31,19.99,20.08,20.83,21.2,21.2,21.08,21.42,21.56,22.05,20.93,20.49,20.63,22.96,23.93,23.51,23.04,23.67,21.89,20.58,22.41,24.03,24.95,24.03,23.74,21.97,23.31,21.81,21.09,20.99,22.52,21.9
2015-03-06 03:00:00,18.27,17.85,18.31,19.13,18.22,18.11,18.74,18.89,19.18,18.68,18.83,19.03,19.74,18.56,18.17,18.28,19.04,18.64,17.41,18.7,19.44,21.39,19.52,19.23,19.13,21.27,21.87,19.15,20.29,18.99,19.63,19.06,20.27,19.74,17.69
2015-03-06 09:00:00,23.24,22.85,22.75,22.67,22.9,22.64,22.15,22.26,22.72,23.08,21.74,21.3,21.59,20.55,20.04,20.29,20.47,22.0,19.67,21.85,21.46,24.4,20.82,22.29,21.84,25.36,25.02,21.39,22.44,20.89,22.23,21.18,22.81,23.16,23.06
2015-03-06 15:00:00,25.04,24.65,24.73,25.01,24.66,24.8,23.98,24.03,25.42,24.03,23.57,24.15,23.87,23.51,23.09,22.45,27.0,29.75,29.57,28.42,27.45,27.77,26.75,29.01,27.85,28.86,29.72,22.65,25.22,25.09,29.12,26.82,27.02,30.31,29.17
2015-03-06 21:00:00,18.14,17.76,17.99,18.74,17.83,17.58,18.63,18.78,18.88,18.82,18.84,18.64,19.27,17.83,17.26,18.08,18.85,18.84,18.99,19.21,20.19,21.25,20.26,18.79,19.11,22.15,21.88,19.09,19.89,19.03,20.34,18.5,19.31,19.8,18.8
2015-03-07 03:00:00,17.37,16.97,17.35,18.14,17.24,16.99,18.2,18.39,18.16,18.23,18.52,18.05,19.04,18.09,17.94,17.24,18.36,18.74,18.72,18.8,19.31,20.68,19.79,18.27,18.96,20.53,21.19,18.93,19.05,18.8,18.84,18.5,19.25,19.1,18.83
2015-03-07 09:00:00,22.4,22.01,22.06,21.91,22.07,21.68,21.43,21.49,21.93,22.18,20.99,20.63,20.78,20.03,19.59,19.47,21.4,20.93,21.3,21.03,20.72,22.62,23.14,21.27,20.24,22.94,23.8,20.18,19.68,20.14,22.31,21.6,20.28,21.88,21.0
2015-03-07 15:00:00,25.99,25.63,25.81,25.13,25.33,26.13,24.81,24.72,25.51,24.88,24.28,23.73,24.17,23.24,22.89,22.85,25.35,28.04,28.19,27.43,26.95,27.39,26.32,25.38,26.97,28.52,29.3,27.02,21.24,27.77,26.9,24.34,21.33,26.97,28.56
2015-03-07 21:00:00,18.82,18.46,18.53,18.75,18.31,18.18,18.27,18.29,18.83,18.1,17.93,18.17,18.34,17.53,17.04,16.93,18.17,19.33,19.94,19.78,18.64,19.65,18.98,18.59,19.07,20.25,20.76,18.63,19.44,18.33,19.23,17.61,19.41,20.15,19.72
2015-03-08 03:00:00,18.06,17.67,17.92,18.07,17.8,17.4,17.56,17.59,17.94,17.27,17.14,17.35,17.52,16.88,16.47,16.13,17.64,18.61,18.79,18.39,18.78,19.47,19.03,18.05,18.76,19.76,20.75,18.26,18.82,18.31,18.36,17.96,18.46,19.08,17.76
2015-03-08 09:00:00,21.21,20.85,20.75,20.28,20.69,20.69,20.03,20.05,20.2,20.96,19.47,18.8,19.1,18.07,17.54,17.12,19.18,20.41,19.94,20.35,19.57,20.62,21.26,20.52,19.98,21.09,21.79,19.53,19.79,19.84,19.9,20.58,19.42,21.66,21.78
